created_at,unit_index,hour_of_day,day_of_week,adset_name,adset_impressions,adset_impressions_diff,adset_settings_total_budget,adset_settings_daily_budget,adset_settings_maximum_daily_impressions,adset_settings_maximum_lifetime_impressions,adset_settings_runtime_in_hours,adset_settings_remaining_hours,adset_settings_running_hours,adset_targetings_total_population,adset_settings_maximum_cpm,adset_targetings_frequency_capping_requests,adset_settings_bidding_strategy,adset_settings_pacing_type
2024-07-16 07:05:02.483,1,7,Tuesday,AdBundle,292803.0,1463.0,272250,19446,72128.0,1009800.0,336,230,105,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 07:05:02.483,0,7,Tuesday,Billboard,74008.0,535.0,295120,21080,18068.0,252960.0,336,230,105,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 08:05:05.123,1,8,Tuesday,AdBundle,295249.0,2446.0,272250,19446,72128.0,1009800.0,336,229,106,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 08:05:05.123,0,8,Tuesday,Billboard,74946.0,938.0,295120,21080,18068.0,252960.0,336,229,106,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 09:05:13.842,1,9,Tuesday,AdBundle,297789.0,2540.0,272250,19446,72128.0,1009800.0,336,228,107,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 09:05:13.842,0,9,Tuesday,Billboard,76290.0,1344.0,295120,21080,18068.0,252960.0,336,228,107,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 10:05:01.437,0,10,Tuesday,Billboard,77610.0,1320.0,295120,21080,18068.0,252960.0,336,227,108,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 10:05:01.437,1,10,Tuesday,AdBundle,300442.0,2653.0,272250,19446,72128.0,1009800.0,336,227,108,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 11:04:49.963,0,11,Tuesday,Billboard,79552.0,1942.0,295120,21080,18068.0,252960.0,336,226,109,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 11:04:49.963,1,11,Tuesday,AdBundle,303293.0,2851.0,272250,19446,72128.0,1009800.0,336,226,109,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 12:04:47.807,1,12,Tuesday,AdBundle,306654.0,3361.0,272250,19446,72128.0,1009800.0,336,225,110,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 12:04:47.807,0,12,Tuesday,Billboard,81192.0,1640.0,295120,21080,18068.0,252960.0,336,225,110,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 13:04:57.443,1,13,Tuesday,AdBundle,310462.0,3808.0,272250,19446,72128.0,1009800.0,336,224,111,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-16 13:04:57.443,0,13,Tuesday,Billboard,82849.0,1657.0,295120,21080,18068.0,252960.0,336,224,111,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-16 14:04:55.597,0,14,Tuesday,Billboard,84376.0,1527.0,295120,21080,18068.0,252960.0,336,223,112,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
